"","CTR-DS1","CTR-DS2","CTR-DS3","DR-DS1","DR-DS2","DR-DS3"
"MLOC_51447.1",8.29401759392837,8.24337137385103,8.29796839752327,7.93247423529935,7.75213932984928,7.77822912131172
"MLOC_72810.2",8.18695912611095,8.10980343394934,8.0955932329938,7.83913911253425,7.76384871805377,7.78533495160269
"MLOC_38604.1",7.70614949800619,7.64399631618856,7.76778131048906,7.06163499230759,7.2501336308895,7.24015539271544
"MLOC_37378.1",9.0263685781566,9.09887413543712,8.93854504453388,8.67637866618718,8.61272307610318,8.57394792992385
"MLOC_51927.1",7.79344031214542,7.79657306424709,7.82350178115214,7.38398263187792,7.39773278811692,7.50284393908317
"MLOC_34816.1",8.61298584369677,8.51531066178246,8.37214753116889,8.01307136826963,8.10985943715974,8.01632279182682
"MLOC_64273.1",8.88916767985444,9.01905402936762,8.88921841545003,9.27074036249974,9.38693659888618,9.28802007512561
"MLOC_63523.1",7.58301738630965,7.36533862821269,7.23315075648701,7.86862788810796,7.93316914121219,7.85487830974268
"MLOC_38039.1",9.41026956092336,9.37952127747115,9.37038285637444,8.98519174577998,9.1046876205165,9.08752157846634
"MLOC_72010.2",7.59421672014611,7.44968264488579,7.57660502799782,8.05843240761881,7.86985384543009,7.87188203410986
"MLOC_59358.1",6.95239587261391,7.46293365333458,7.04355310536237,8.17912002186524,8.07145885202998,7.81127192601694
"MLOC_69302.1",7.43176458510256,7.47770148302961,7.45852658110898,7.97881328219932,8.03845111393538,7.73733553602175
"MLOC_18081.1",7.81870189881103,7.94893174404093,7.86368513385222,7.45565376050821,7.5636074054248,7.55240552722322
"MLOC_75528.1",8.08387895098701,8.21384318935345,7.85167527344213,7.53734338190502,7.54533435697146,7.30254695640865
"MLOC_16360.1",8.35053075621589,8.211398905758,8.20965716927418,7.98887960763818,7.98428811086791,7.93317874266971
"MLOC_77043.1",8.31295754833286,8.61486942122334,8.41152328228333,9.01710813762513,9.02994205508514,8.80055890587106
"MLOC_6800.1",7.70731204513189,7.62205713845494,7.18954697821873,8.17778857509266,8.19339573452903,8.0560866086118
"MLOC_5263.1",7.82191755127775,7.65764504922764,7.66405851152756,7.46476817286154,7.30415446959579,7.37360719300521
"MLOC_6801.1",7.94729363718103,8.20446326659609,8.07242418617606,8.41543315585917,8.52961045621459,8.44223964318022
"MLOC_36310.1",8.43618419856378,8.39747084781047,8.39939877124311,8.1061442681709,8.18162055080513,8.18380248938868
"MLOC_49603.1",7.65965635491039,7.66055261874426,7.61992698050873,7.83199262496151,8.00881356256724,8.04978082969029
"MLOC_79308.1",7.67572547685309,7.77369129829279,7.73155958655684,7.39294547901374,7.32355370560004,7.04607261713742
"MLOC_10834.2",8.8428800162976,8.70472342857013,8.55582684605927,9.1861363927808,9.13979661158453,8.9662124958013
"MLOC_5168.1",9.15469892678589,9.34297035536618,9.35240551378718,9.6787651311586,9.60928912920484,9.57620585664669
"MLOC_10176.1",9.07549410783208,9.35360871260482,9.17023781294749,9.54100981887685,9.72700976892932,9.55819947426954
"MLOC_25990.1",7.60358196715926,7.47177097515647,7.16998446876504,7.93862120271764,8.20456034807179,7.85258046048975
"MLOC_57730.1",6.99858633718011,6.99184170099338,6.99853585987385,6.69968079353031,6.80550350954317,6.61382700172196
"MLOC_4005.2",8.20889347541214,8.07867242053216,8.1130873035868,7.87612561407813,7.92506791707884,7.87824386878503
"MLOC_78140.1",8.29560550974127,7.95409285041304,8.3882562117871,8.6826061586213,8.84686819818106,8.66984080071856
"MLOC_18035.1",8.22927302216477,8.17268007214681,8.12444164335056,8.00975242871143,7.7856278310802,7.78519121910237
"MLOC_58649.1",8.50844697149894,8.46203080012944,8.62639350156502,8.89234040159399,9.14822030592517,8.80905447041127
"MLOC_72010.3",7.1999414869722,7.41347836589297,6.89281493537182,7.83323236625406,7.63165145561145,7.59832823914923
"MLOC_1565.1",8.64429938526304,8.70152163669307,8.60186591976783,8.96793648418638,9.07280305087161,8.80198716943771
"MLOC_63625.2",8.28069063529504,8.20687442851947,8.12732449808055,7.98190704154584,8.01128510655006,7.89151969097408
"MLOC_7196.1",7.35078420682973,7.30157963281874,7.30576182075312,7.14890251102901,7.13091628824802,7.04627188140964
"MLOC_5940.1",8.13358764924985,7.99806941618621,8.15575122255905,7.86286213843848,7.85286680054098,7.77890984399131
"MLOC_69600.1",8.81173989264741,8.87881080293409,8.8417828737604,9.0302847288184,9.0127245683852,8.9993546584476
"MLOC_61203.1",7.40861699246362,7.30068988898053,7.27558277674737,7.04949099934179,7.14978798224103,6.95617286069932
"MLOC_11312.2",8.19376984549609,8.22998376343023,8.20692282173519,7.916913099366,8.05365671990346,7.9535149363326
"MLOC_73014.1",7.91921254242573,7.9618999335054,7.98458127173082,7.79987624272733,7.58491395982652,7.65104740182449
"MLOC_77985.2",9.36651884207711,9.12837667994629,9.07967245150737,9.5190450459948,9.51777878195796,9.41565452464611
"MLOC_64204.1",8.11013167400553,8.08960689845055,8.09985737745612,7.83963716852515,7.84843956475298,7.9578034652601
"MLOC_79165.2",10.1678657983713,10.23463296833,10.2336779058576,9.95274872390526,9.94700297332661,10.0586908240908
"MLOC_70609.1",7.10559729911389,7.58651835200168,6.80761037954233,7.95907483848038,7.79503281436015,7.7563629556398
"MLOC_11650.1",8.6541058503402,8.63751800265284,8.70685927629956,8.4374567686383,8.4976284791929,8.45616249535708
"MLOC_54044.4",7.54801617535088,7.47524824267432,7.64278589421784,7.82598529103917,7.7045071855823,7.85628467995675
"MLOC_5591.1",8.3491225676703,8.28856160412644,8.28458601947046,8.18703763838365,8.04355467568915,8.08753590496653
"MLOC_69668.2",8.19650018090132,8.28462269584359,8.03065886398848,8.46383580784386,8.3829704203973,8.36665119923416
"MLOC_60133.1",8.28300889863145,8.24717206476955,8.2797172819925,7.99682539058111,8.12391861032298,8.0677623851937
"MLOC_11841.1",8.27979725857413,8.2042885312579,8.22696928229853,8.10832576631901,8.01315633776585,8.03346529863819
"MLOC_65532.1",7.97991466789384,7.88744364983748,7.86968266442526,7.7078839725088,7.73483876346736,7.74801000613528
"MLOC_4991.1",7.87095506236304,7.85766533073397,7.87673925237751,7.70853542045161,7.71498972150837,7.63863297807379
"MLOC_11219.1",8.27287170326024,8.45846541754675,8.19889592994319,8.68452008117117,8.47256209254946,8.61689155293775
"MLOC_61862.1",8.16883487525235,8.26055804654313,8.13837148929002,7.95274564496047,8.03857950497691,7.94863304708771
"MLOC_63625.1",8.12605959079834,8.05301787588775,7.93103211799484,7.69453451506751,7.81043565547803,7.85684194094587
"MLOC_34020.1",7.83433688720596,7.7137140605364,7.73055941462536,7.94612508746387,7.99044531864724,7.87033628049764
"MLOC_63104.2",8.79153035480766,8.66270034314762,8.77839989184724,8.52440150748948,8.54715846813249,8.55790817857901
"MLOC_17819.1",8.91783372133247,8.86020715690341,8.93810374187443,8.59539759603732,8.71388856436223,8.73983396324611
"MLOC_59370.1",8.42418946702661,8.34874805272781,8.46161353391542,8.23238217751785,8.15295186975559,8.23967086512918
"MLOC_52199.1",9.55442176012792,9.41783030799093,9.54766951206294,9.27179626320551,9.324457058144,9.29489269295071
"MLOC_61795.1",6.62979691379719,6.49652144734085,6.6170506152825,6.40319837975288,6.32370280490212,6.39587243719005
"MLOC_9865.1",9.02056958264317,9.00075747265391,9.1319353639977,9.25102157786676,9.32045335330812,9.1950290483634
"MLOC_46003.1",9.62932226720309,10.1194070616389,9.78592735934258,10.2315357493138,10.2139720646709,10.2997997685152
"MLOC_72827.2",7.80806328439388,7.6957457027938,7.71515813125875,7.30565042442872,7.52116545247925,7.55241092107884
"MLOC_7060.1",7.45785455221576,7.51130735937691,6.87074028660395,7.86965263855485,8.02470020159548,7.67343893073362
"MLOC_59358.8",8.05709887545059,8.0018227573128,7.98730694179245,8.15470881421914,8.17542367084975,8.11808004013826
"MLOC_67581.1",9.35749941806767,9.26619220246989,9.21878217392581,9.45160786933611,9.47246017565599,9.38701100317748
"MLOC_3630.1",7.84146760725605,7.80995197333239,7.91345001025903,7.54544354875414,7.60350248033739,7.71802958589759
"MLOC_5110.2",8.48801349947539,8.31885416009483,8.40981445277028,7.897961007108,8.08587569893666,8.23945066748388
"MLOC_21709.1",8.92224713614487,8.76632383476928,8.85011911005172,8.66699663142087,8.6753100185187,8.59317558461049
"MLOC_12765.1",7.57605343166074,7.54916976659852,7.58411608312216,7.38355516976748,7.41414793722084,7.42276772899795
"MLOC_78867.1",8.77533358925475,8.6777536370232,8.77581978424406,8.48720276118862,8.56911251588737,8.5796200109416
"MLOC_62955.1",8.18281817963888,8.07598243656009,8.2198521738695,7.92595189558796,7.99453448211276,7.93378396512694
"MLOC_65022.1",9.24040904021999,9.40535601357261,9.2013283024703,9.52977432314581,9.58791477749916,9.41370902316082
"MLOC_37921.1",8.58325904706615,8.69968135661023,8.65809325033871,8.8274814303084,8.85758107476382,8.76540834463876
"MLOC_65160.1",8.82654619172742,8.82839419607309,8.77964438499638,8.64552180284693,8.6347515101456,8.4166831788937
