"","CTR-DS1","CTR-DS2","CTR-DS3","DR-DS1","DR-DS2","DR-DS3"
"MLOC_10536",3.03966891450979,2.99253837117983,3.09283991526385,3.25219553677953,3.24661628288469,3.17511613255778
"MLOC_11317",2.72872225420366,2.78549296760035,2.70525345919135,3.09432296784051,2.99412394325759,2.88480567591466
"MLOC_11435",2.90237106527718,2.87725894654617,2.93857157245057,3.13082938941017,3.08238402344839,3.07777511213516
"MLOC_15171",3.51219435000531,3.48731532584993,3.48229595736424,3.61455838160634,3.626094085671,3.56648051251696
"MLOC_1587",2.72236611978883,2.7760414571182,2.69771258550965,2.9404832649671,2.97360527509224,2.93891926597657
"MLOC_15911",3.67435992954609,3.62274708086517,3.61168224154276,3.74388291705879,3.77778168978259,3.6789625326455
"MLOC_17359",2.87965527836591,2.8896463873395,2.90140920917858,3.11978554646846,3.16083631005573,3.03165156206132
"MLOC_17754",3.89706166451895,3.91643333364895,3.87825559085239,3.81638057492832,3.80885370725965,3.81281075705114
"MLOC_18145",3.74655681396661,3.74016101498559,3.73074758949294,3.84975228108587,3.85304224753502,3.76459403757274
"MLOC_20041",3.46849706228882,3.33025076208284,3.35644648848587,3.69424476109598,3.65426375887612,3.51906997411492
"MLOC_20146",3.03458092227595,2.9572140921645,3.08711957103292,3.26284725475992,3.18408462701113,3.17587229060068
"MLOC_21661",3.26675647320207,3.16743858532262,3.2025492860619,3.4022218587189,3.43238887578566,3.32959039373111
"MLOC_22101",2.61217393779556,2.49318012104178,2.54820064551231,2.81806343313534,2.94295409475859,2.8571505360241
"MLOC_24040",3.26347624877246,3.1715755881536,3.22128334859674,3.40418245910491,3.40627906859565,3.34897356075563
"MLOC_2968",3.42992700355571,3.43311256176521,3.4093917823547,3.52430054070649,3.54623867290785,3.46819530458622
"MLOC_3822",3.72613717298962,3.7144759221952,3.74872846228837,3.8439791617828,3.8474197123763,3.76911270745409
"MLOC_39318",3.64182028529859,3.57175216030373,3.59665028005459,3.71033464634892,3.74166052252961,3.67392163248914
"MLOC_43759",3.02937017425066,2.98069835772182,2.97053000839005,3.20159169245547,3.13340752581388,3.13030824999785
"MLOC_52081",2.85070776700478,3.05839838471035,2.66518755783368,2.09763841306515,1.75317904230171,2.49818730061086
"MLOC_52316",2.98892773070909,2.91802130997337,3.0213550783579,3.14016826709123,3.16762395528795,3.09754329754288
"MLOC_55088",3.05735695765532,3.05554163250251,3.017373097399,2.83671213434153,2.89776233527826,2.86357982296163
"MLOC_55178",2.61217393779556,2.7560010643002,2.67370028009484,1.77460373407823,2.28219261776219,2.31225154299717
"MLOC_55348",3.70529935054112,3.68422651892194,3.71185374782026,3.77583590522099,3.77184318469913,3.74955887065353
"MLOC_55570",2.8264499513328,2.8356853236234,2.83604932523853,2.23217872145342,2.21445426146695,2.57534588546007
"MLOC_56891",3.46304137684805,3.52099239974592,3.50435064934155,3.61394863146885,3.61812387276785,3.55787572050808
"MLOC_57145",2.93411657997954,2.99822935157201,2.98495390199959,3.13202044677327,3.1751086850213,3.11044780386061
"MLOC_5985",3.07225515982579,3.03280730609975,3.04382377990143,3.25665441778397,3.23413877708763,3.13498621805123
"MLOC_59994",4.23777741164705,4.21475590322433,4.18786254428836,4.32859532644476,4.32450168442603,4.25403510505455
"MLOC_60239",2.70916610392178,2.79459967207964,2.62815302830678,2.23217872145342,2.28219261776219,2.13357074960358
"MLOC_62464",3.1454766719974,3.15714573903521,3.11041473547872,3.01165779562915,2.91691201846417,2.96899535920359
"MLOC_64229",3.10298150059364,3.2114781931852,3.17815254060459,2.98251686412126,2.95363962427551,3.05460138971593
"MLOC_64782",3.11621361685559,3.19253702778326,3.21057562961264,2.99868426123888,3.00886405436095,3.05730471627135
"MLOC_65311",3.46815042469883,3.43527040398412,3.43292153663612,3.36005558677453,3.34617776984986,3.34377831511426
"MLOC_67799",3.58062168318326,3.53887700801473,3.48705096462943,3.45490955838262,3.43261502225658,3.43583077893553
"MLOC_6800",3.42144610452796,3.32226983856335,3.35281902381099,3.46841093516514,3.55266760799,3.45760340614752
"MLOC_68131",3.18310603610975,3.19400465840544,3.10516394339165,2.99418416271379,3.04274709983166,2.97883290242954
"MLOC_68833",2.96436761119357,2.88353395822243,2.96803296091069,3.1332045860857,3.13897908066175,3.06391659289195
